id,tweet,misogynous,misogyny_category,target
2657,"I'm really the best girlfriend a nigga could ever have but you mfs ungrateful, unappreciative, &; unworthy so a bitch BIG chilling .🤷🏾‍♀️☺️💅🏾",0,0,0
2658,No. If someone raped me we pursuing tf out of it. This whore lied and cant lie no more. Females who lie about rape need to be in jail. https://t.co/Y9iwvailcX,0,0,0
2659,"Got it, you are fearful of God so can't speak truth, or Lord Ram will ask for the hundreds of crores collected for his Temple from people https://t.co/gbXOBalF2r",0,0,0
2660,I really hope kodak ain't rape that white girl in NC,0,0,0
2661,"🤔 All charged will be dropped from #Nelly’s alleged rape case, as the woman involved refuses to… https://t.co/LmyFZW8f0V",0,0,0
2662,hes a try hard cunt who needs to stay away from women as much as possible https://t.co/thpWc7Trti,0,0,0
2663,Don't make me expose your ass hoe https://t.co/cJuKJNpA24,0,0,0
2664,"1:ran into a friend, intro’s the girl with him, “maya this is my girlfriend”-today he posted a pic wit a whole other hoe captioned #RealLove",0,0,0
2665,If yo pussy get hot off emojis..Hoe seek help 😭😭😭,0,0,0
2667,a loving woman teaches the new girl on the block how to suck her husband's cock' #TheTrainingOfO https://t.co/fi1RBEeskK,0,0,0
2668,"Boy, 15, arrested over rape of 84-year-old woman in Perth, Australia https://t.co/kG8olKg5PY",0,0,0
2669,"@RepBarbaraLee Fuck off, you race pimp. #LiberalismIsAMentalDisorder",0,0,0
2670,"I don’t have it me to personally call a woman a bitch. Can’t do it. Generally, not a problem. Personally, nope.",0,0,0
2672,.@realDonaldTrump I hope that every woman you meet or speak w/ is secretly taping you. Rape culture can not be defended. https://t.co/qNB4ezHSig,0,0,0
2673,fuck off forster you stupid gormless lanky cunt #saintsfc,0,0,0
2674,@iDeepakKapoor @RamKumarJangr12 @AshiQuotes Also see this how miss Kaur a young girl in India got rape threats from her own countrymen. https://t.co/FvtGbmWt1S,0,0,0
2675,"Shit you crazy, my dick get hard when a cute girl give me eye contact hell https://t.co/mM676s5FZ4",0,0,0
2676,@bwadelvis3232 @curtiswoodhous8 Curt you slag stones off constantly 😂,0,0,0
2678,#NUFC perez you little knob knew youd do this after i slag you off!! Well in that case YOUR SHITE SCORE AGAIN!!,0,0,0
2680,"Adelanto couple accused of kidnap, rape of woman they met on dating app https://t.co/6kZ5PIRxa0",0,0,0
2681,This girl gave me a discount since my dick was small.',0,0,0
2686,British actress becomes fifth woman to accuse of rape... https://t.co/Dy9QxEPhoM https://t.co/DMzY1iCR82,0,0,0
2687,@GrantJKidney While the billions outside America love SNL and just point and laugh at the stupid cunt in the White House 😂😂😂,0,0,0
2689,@ALftbI You stupid ignorant cunt,0,0,0
2690,Hey Lady Control Your 'Man' Control Your 'Spiritual Man and His yogi Dick' Women are not object....I will show all captures Warning 1,0,0,0
